stop_id,station_id,travel_time,weekday_trips,weekend_trips,latitude,longitude,station_name,line_numbers,route_ids,parent_stop
37123,37312,0,409,36,31.243009,34.797157,באר שבע מרכז,160 162 60 64 65,16749 14930 10870 11057 11725 11750,26652
35976,37394,8,82,1,31.870218,34.998412,מודיעין מרכז,17 18,11354 11908,
1179,37370,10,288,15,32.497588,34.922015,קיסריה פרדס חנה,10,12192 12193,
27599,37322,89,1,5,31.308898,34.623069,בית שמש,445,16628,
9815,37312,130,3,0,31.811947,35.196267,באר שבע מרכז,470,7013,
8147,37314,126,327,25,31.528076,35.118475,באר שבע-צפון,440 51 61,6085 6087 6089 6097 6098 6099 6100 6101 6086 14954 6984 6985,
39428,37324,36,60,3,31.578561,34.658134,אשקלון,22,1916,
13409,37350,20,1201,80,32.040384,34.764436,השלום,7,2276 2277,
25614,37312,10,1598,214,31.255592,34.778988,באר שבע מרכז,3,149 148,
7636,37394,22,0,2,31.931557,35.045185,מודיעין מרכז,875,15886,
23223,37328,17,24,0,31.796384,34.766313,יבנה מזרח,310,7404,
801,37344,11,636,42,32.012089,34.797033,בת ים יוספטל,99,13695 9861,
18816,37388,28,122,3,32.875783,35.177162,לב המפרץ,169 255,6575 6563,
28589,37290,20,85,3,31.420002,34.588301,שדרות,365 465,16632 1878,
34487,37350,63,320,41,32.102672,35.198285,השלום,186 286,9252 9268 9269 9251,
13303,37394,49,6,6,32.081810,34.770810,מודיעין מרכז,222,11206,
22744,37332,27,40,3,31.848285,34.811740,רחובות,24,11671 13751 11672,
5926,37380,35,80,3,32.692539,35.251370,חיפה מרכז,331 332,1559 1569,
1878,37378,27,1049,97,32.788785,34.993105,בת גלים,136 24,3699 11332 15765 3697,
